eventname,eventcategory,eventdescription,eventdate,eventstatus
Signup,Transactional,Description for event 478,2025-03-18,Active
Subscription,Transactional,Description for event 482,2025-03-18,Active
Login,Social,Description for event 483,2025-03-18,Archived
ProductView,Transactional,Description for event 486,2025-03-18,Active
Login,Transactional,Description for event 490,2025-03-18,Active
Checkout,Social,Description for event 491,2025-03-18,Archived
Signup,Transactional,Description for event 492,2025-03-18,Active
AddToCart,Transactional,Description for event 494,2025-03-18,Active
Logout,Social,Description for event 495,2025-03-18,Archived
Subscription,Transactional,Description for event 496,2025-03-18,Active
Checkout,Transactional,Description for event 498,2025-03-18,Active
Signup,Social,Description for event 499,2025-03-18,Archived
ProductView,Transactional,Description for event 500,2025-03-18,Active
Logout,Transactional,Description for event 502,2025-03-18,Active
Checkout,Social,Description for event 505,2025-03-18,Archived
ProductView,Social,Description for event 507,2025-03-18,Archived
Subscription,Transactional,Description for event 510,2025-03-18,Active
Login,Social,Description for event 511,2025-03-18,Archived
Logout,Transactional,Description for event 516,2025-03-18,Active
Signup,Transactional,Description for event 520,2025-03-18,Active
AddToCart,Transactional,Description for event 522,2025-03-18,Active
Subscription,Transactional,Description for event 524,2025-03-18,Active
ProductView,Transactional,Description for event 528,2025-03-18,Active
AddToCart,Social,Description for event 529,2025-03-18,Archived
Checkout,Social,Description for event 533,2025-03-18,Archived
Signup,Transactional,Description for event 534,2025-03-18,Active
ProductView,Social,Description for event 535,2025-03-18,Archived
AddToCart,Transactional,Description for event 536,2025-03-18,Active
Logout,Social,Description for event 537,2025-03-18,Archived
Subscription,Transactional,Description for event 538,2025-03-18,Active
Signup,Transactional,Description for event 548,2025-03-18,Active
AddToCart,Transactional,Description for event 550,2025-03-18,Active
Logout,Social,Description for event 551,2025-03-18,Archived
Login,Social,Description for event 553,2025-03-18,Archived
Logout,Transactional,Description for event 558,2025-03-18,Active
Subscription,Social,Description for event 559,2025-03-18,Archived
Login,Transactional,Description for event 560,2025-03-18,Active
AddToCart,Transactional,Description for event 564,2025-03-18,Active
Logout,Social,Description for event 565,2025-03-18,Archived
Subscription,Transactional,Description for event 566,2025-03-18,Active
Signup,Social,Description for event 569,2025-03-18,Archived
ProductView,Transactional,Description for event 570,2025-03-18,Active
AddToCart,Social,Description for event 571,2025-03-18,Archived
Logout,Transactional,Description for event 572,2025-03-18,Active
Checkout,Social,Description for event 575,2025-03-18,Archived
AddToCart,Transactional,Description for event 578,2025-03-18,Active
Logout,Social,Description for event 579,2025-03-18,Archived
Subscription,Transactional,Description for event 580,2025-03-18,Active
Checkout,Transactional,Description for event 582,2025-03-18,Active
Signup,Social,Description for event 583,2025-03-18,Archived
Logout,Transactional,Description for event 586,2025-03-18,Active
Subscription,Social,Description for event 587,2025-03-18,Archived
Login,Transactional,Description for event 588,2025-03-18,Active
Signup,Transactional,Description for event 590,2025-03-18,Active
AddToCart,Transactional,Description for event 592,2025-03-18,Active
AddToCart,Social,Description for event 599,2025-03-18,Archived
Logout,Transactional,Description for event 600,2025-03-18,Active
Login,Transactional,Description for event 602,2025-03-18,Active
Checkout,Social,Description for event 603,2025-03-18,Archived
Logout,Social,Description for event 607,2025-03-18,Archived
Login,Social,Description for event 609,2025-03-18,Archived
Checkout,Transactional,Description for event 610,2025-03-18,Active
Subscription,Social,Description for event 615,2025-03-18,Archived
Checkout,Social,Description for event 617,2025-03-18,Archived
Signup,Transactional,Description for event 618,2025-03-18,Active
ProductView,Social,Description for event 619,2025-03-18,Archived
AddToCart,Transactional,Description for event 620,2025-03-18,Active
Logout,Social,Description for event 621,2025-03-18,Archived
Login,Social,Description for event 623,2025-03-18,Archived
Checkout,Transactional,Description for event 624,2025-03-18,Active
AddToCart,Social,Description for event 627,2025-03-18,Archived
Logout,Transactional,Description for event 628,2025-03-18,Active
Subscription,Social,Description for event 629,2025-03-18,Archived
Checkout,Social,Description for event 631,2025-03-18,Archived
Signup,Transactional,Description for event 632,2025-03-18,Active
Logout,Social,Description for event 635,2025-03-18,Archived
Checkout,Transactional,Description for event 638,2025-03-18,Active
Signup,Social,Description for event 639,2025-03-18,Archived
AddToCart,Social,Description for event 641,2025-03-18,Archived
Logout,Transactional,Description for event 642,2025-03-18,Active
Subscription,Social,Description for event 643,2025-03-18,Archived
Checkout,Social,Description for event 645,2025-03-18,Archived
Signup,Transactional,Description for event 646,2025-03-18,Active
AddToCart,Transactional,Description for event 648,2025-03-18,Active
Subscription,Transactional,Description for event 650,2025-03-18,Active
Login,Social,Description for event 651,2025-03-18,Archived
Signup,Social,Description for event 653,2025-03-18,Archived
ProductView,Transactional,Description for event 654,2025-03-18,Active
Logout,Transactional,Description for event 656,2025-03-18,Active
Subscription,Social,Description for event 657,2025-03-18,Archived
AddToCart,Transactional,Description for event 662,2025-03-18,Active
Signup,Social,Description for event 667,2025-03-18,Archived
AddToCart,Social,Description for event 669,2025-03-18,Archived
Subscription,Social,Description for event 671,2025-03-18,Archived
Login,Transactional,Description for event 672,2025-03-18,Active
Checkout,Social,Description for event 673,2025-03-18,Archived
AddToCart,Transactional,Description for event 676,2025-03-18,Active
Logout,Social,Description for event 677,2025-03-18,Archived
Signup,Social,Description for event 681,2025-03-18,Archived
ProductView,Transactional,Description for event 682,2025-03-18,Active
AddToCart,Social,Description for event 683,2025-03-18,Archived
Logout,Transactional,Description for event 684,2025-03-18,Active
Subscription,Social,Description for event 685,2025-03-18,Archived
Login,Transactional,Description for event 686,2025-03-18,Active
Checkout,Social,Description for event 687,2025-03-18,Archived
Signup,Transactional,Description for event 688,2025-03-18,Active
Logout,Social,Description for event 691,2025-03-18,Archived
Subscription,Transactional,Description for event 692,2025-03-18,Active
Login,Social,Description for event 693,2025-03-18,Archived
Signup,Social,Description for event 695,2025-03-18,Archived
AddToCart,Social,Description for event 697,2025-03-18,Archived
Subscription,Social,Description for event 699,2025-03-18,Archived
Login,Transactional,Description for event 700,2025-03-18,Active
Signup,Transactional,Description for event 702,2025-03-18,Active
ProductView,Social,Description for event 703,2025-03-18,Archived
AddToCart,Transactional,Description for event 704,2025-03-18,Active
Signup,Social,Description for event 709,2025-03-18,Archived
Login,Transactional,Description for event 714,2025-03-18,Active
Signup,Transactional,Description for event 716,2025-03-18,Active
Logout,Social,Description for event 719,2025-03-18,Archived
Checkout,Transactional,Description for event 722,2025-03-18,Active
Logout,Transactional,Description for event 726,2025-03-18,Active
Login,Transactional,Description for event 728,2025-03-18,Active
Signup,Transactional,Description for event 730,2025-03-18,Active
Login,Social,Description for event 735,2025-03-18,Archived
Checkout,Transactional,Description for event 736,2025-03-18,Active
Signup,Social,Description for event 737,2025-03-18,Archived
Logout,Transactional,Description for event 740,2025-03-18,Active
Login,Transactional,Description for event 742,2025-03-18,Active
Signup,Transactional,Description for event 744,2025-03-18,Active
AddToCart,Transactional,Description for event 746,2025-03-18,Active
Logout,Social,Description for event 747,2025-03-18,Archived
Subscription,Transactional,Description for event 748,2025-03-18,Active
Checkout,Transactional,Description for event 750,2025-03-18,Active
Signup,Social,Description for event 751,2025-03-18,Archived
Logout,Transactional,Description for event 754,2025-03-18,Active
Subscription,Social,Description for event 755,2025-03-18,Archived
Login,Transactional,Description for event 756,2025-03-18,Active
ProductView,Social,Description for event 759,2025-03-18,Archived
Logout,Social,Description for event 761,2025-03-18,Archived
Signup,Social,Description for event 765,2025-03-18,Archived
ProductView,Transactional,Description for event 766,2025-03-18,Active
AddToCart,Social,Description for event 767,2025-03-18,Archived
Logout,Transactional,Description for event 768,2025-03-18,Active
Subscription,Social,Description for event 769,2025-03-18,Archived
Checkout,Social,Description for event 771,2025-03-18,Archived
Subscription,Transactional,Description for event 776,2025-03-18,Active
Checkout,Transactional,Description for event 778,2025-03-18,Active
Login,Transactional,Description for event 784,2025-03-18,Active
Checkout,Social,Description for event 785,2025-03-18,Archived
Signup,Transactional,Description for event 786,2025-03-18,Active
ProductView,Social,Description for event 787,2025-03-18,Archived
Logout,Social,Description for event 789,2025-03-18,Archived
Subscription,Transactional,Description for event 790,2025-03-18,Active
Login,Social,Description for event 791,2025-03-18,Archived
ProductView,Transactional,Description for event 794,2025-03-18,Active
Logout,Transactional,Description for event 796,2025-03-18,Active
Subscription,Social,Description for event 797,2025-03-18,Archived
Checkout,Social,Description for event 799,2025-03-18,Archived
Signup,Transactional,Description for event 800,2025-03-18,Active
AddToCart,Transactional,Description for event 802,2025-03-18,Active
Checkout,Transactional,Description for event 806,2025-03-18,Active
Logout,Transactional,Description for event 810,2025-03-18,Active
Login,Transactional,Description for event 812,2025-03-18,Active
Checkout,Social,Description for event 813,2025-03-18,Archived
Signup,Transactional,Description for event 814,2025-03-18,Active
Subscription,Transactional,Description for event 818,2025-03-18,Active
Checkout,Transactional,Description for event 820,2025-03-18,Active
ProductView,Transactional,Description for event 822,2025-03-18,Active
Logout,Transactional,Description for event 824,2025-03-18,Active
Subscription,Social,Description for event 825,2025-03-18,Archived
Login,Transactional,Description for event 826,2025-03-18,Active
Checkout,Social,Description for event 827,2025-03-18,Archived
Signup,Transactional,Description for event 828,2025-03-18,Active
ProductView,Social,Description for event 829,2025-03-18,Archived
Logout,Social,Description for event 831,2025-03-18,Archived
Login,Social,Description for event 833,2025-03-18,Archived
Checkout,Transactional,Description for event 834,2025-03-18,Active
Signup,Social,Description for event 835,2025-03-18,Archived
ProductView,Transactional,Description for event 836,2025-03-18,Active
Logout,Transactional,Description for event 838,2025-03-18,Active
Subscription,Social,Description for event 839,2025-03-18,Archived
Login,Transactional,Description for event 840,2025-03-18,Active
ProductView,Social,Description for event 843,2025-03-18,Archived
AddToCart,Transactional,Description for event 844,2025-03-18,Active
Logout,Social,Description for event 845,2025-03-18,Archived
Login,Social,Description for event 847,2025-03-18,Archived
Checkout,Transactional,Description for event 848,2025-03-18,Active
ProductView,Transactional,Description for event 850,2025-03-18,Active
AddToCart,Social,Description for event 851,2025-03-18,Archived
Logout,Transactional,Description for event 852,2025-03-18,Active
Subscription,Social,Description for event 853,2025-03-18,Archived
Login,Transactional,Description for event 854,2025-03-18,Active
Subscription,Transactional,Description for event 860,2025-03-18,Active
Checkout,Social,Description for event 869,2025-03-18,Archived
AddToCart,Transactional,Description for event 872,2025-03-18,Active
Login,Social,Description for event 875,2025-03-18,Archived
Signup,Social,Description for event 877,2025-03-18,Archived
AddToCart,Social,Description for event 879,2025-03-18,Archived
Logout,Transactional,Description for event 880,2025-03-18,Active
Subscription,Social,Description for event 881,2025-03-18,Archived
Login,Transactional,Description for event 882,2025-03-18,Active
Signup,Transactional,Description for event 884,2025-03-18,Active
ProductView,Social,Description for event 885,2025-03-18,Archived
AddToCart,Transactional,Description for event 886,2025-03-18,Active
Subscription,Transactional,Description for event 888,2025-03-18,Active
Checkout,Transactional,Description for event 890,2025-03-18,Active
Signup,Social,Description for event 891,2025-03-18,Archived
AddToCart,Social,Description for event 893,2025-03-18,Archived
Signup,Transactional,Description for event 898,2025-03-18,Active
AddToCart,Transactional,Description for event 900,2025-03-18,Active
Subscription,Transactional,Description for event 902,2025-03-18,Active
ProductView,Transactional,Description for event 906,2025-03-18,Active
Subscription,Social,Description for event 909,2025-03-18,Archived
Login,Transactional,Description for event 910,2025-03-18,Active
Signup,Transactional,Description for event 912,2025-03-18,Active
AddToCart,Transactional,Description for event 914,2025-03-18,Active
Logout,Social,Description for event 915,2025-03-18,Archived
Login,Social,Description for event 917,2025-03-18,Archived
Signup,Social,Description for event 919,2025-03-18,Archived
AddToCart,Social,Description for event 921,2025-03-18,Archived
Logout,Transactional,Description for event 922,2025-03-18,Active
Login,Transactional,Description for event 924,2025-03-18,Active
AddToCart,Transactional,Description for event 928,2025-03-18,Active
Subscription,Transactional,Description for event 930,2025-03-18,Active
Login,Transactional,Description for event 938,2025-03-18,Active
Checkout,Social,Description for event 939,2025-03-18,Archived
AddToCart,Transactional,Description for event 942,2025-03-18,Active
Logout,Social,Description for event 943,2025-03-18,Archived
Subscription,Transactional,Description for event 944,2025-03-18,Active
Checkout,Social,Description for event 953,2025-03-18,Archived
Signup,Transactional,Description for event 954,2025-03-18,Active
ProductView,Social,Description for event 955,2025-03-18,Archived
Subscription,Transactional,Description for event 958,2025-03-18,Active
Login,Social,Description for event 959,2025-03-18,Archived
ProductView,Transactional,Description for event 962,2025-03-18,Active
Logout,Transactional,Description for event 964,2025-03-18,Active
Subscription,Social,Description for event 965,2025-03-18,Archived
Login,Transactional,Description for event 966,2025-03-18,Active
Checkout,Social,Description for event 967,2025-03-18,Archived
ProductView,Social,Description for event 969,2025-03-18,Archived
Login,Social,Description for event 973,2025-03-18,Archived
Checkout,Transactional,Description for event 974,2025-03-18,Active
Signup,Social,Description for event 975,2025-03-18,Archived
AddToCart,Social,Description for event 977,2025-03-18,Archived
Logout,Transactional,Description for event 978,2025-03-18,Active
Login,Transactional,Description for event 980,2025-03-18,Active
Checkout,Social,Description for event 981,2025-03-18,Archived
AddToCart,Transactional,Description for event 984,2025-03-18,Active
Login,Social,Description for event 987,2025-03-18,Archived
Checkout,Transactional,Description for event 988,2025-03-18,Active
ProductView,Transactional,Description for event 990,2025-03-18,Active
AddToCart,Social,Description for event 991,2025-03-18,Archived
Logout,Transactional,Description for event 992,2025-03-18,Active
Subscription,Social,Description for event 993,2025-03-18,Archived
Login,Transactional,Description for event 994,2025-03-18,Active
ProductView,Social,Description for event 997,2025-03-18,Archived
AddToCart,Transactional,Description for event 998,2025-03-18,Active
Login,Transactional,User logs into the application,2025-03-17,Active
Checkout,Transactional,User proceeds with purchase,2025-03-17,Active
Signup,Transactional,User signs up for a new account,2025-03-17,Active
ProductView,Social,User views a product page,2025-03-17,Active
AddToCart,Transactional,User adds a product to their shopping cart,2025-03-17,Active
Logout,Transactional,User logs out of the application,2025-03-17,Active
Subscription,Transactional,User subscribes to a service or newsletter,2025-03-17,Active
Signup,Transactional,Description for event 2,2025-03-18,Active
ProductView,Transactional,Description for event 3,2025-03-18,Archived
AddToCart,Transactional,Description for event 4,2025-03-18,Active
Subscription,Transactional,Description for event 6,2025-03-18,Active
Login,Transactional,Description for event 7,2025-03-18,Archived
Checkout,Transactional,Description for event 8,2025-03-18,Active
Signup,Transactional,Description for event 9,2025-03-18,Archived
ProductView,Transactional,Description for event 10,2025-03-18,Active
Signup,Transactional,Description for event 2,2025-03-18,Active
ProductView,Transactional,Description for event 3,2025-03-18,Archived
AddToCart,Transactional,Description for event 4,2025-03-18,Active
Subscription,Transactional,Description for event 6,2025-03-18,Active
Login,Transactional,Description for event 7,2025-03-18,Archived
Checkout,Transactional,Description for event 8,2025-03-18,Active
Signup,Transactional,Description for event 9,2025-03-18,Archived
ProductView,Transactional,Description for event 10,2025-03-18,Active
AddToCart,Transactional,Description for event 11,2025-03-18,Archived
Login,Transactional,Description for event 14,2025-03-18,Active
Checkout,Transactional,Description for event 15,2025-03-18,Archived
ProductView,Transactional,Description for event 17,2025-03-18,Archived
Subscription,Transactional,Description for event 20,2025-03-18,Active
Logout,Transactional,Description for event 26,2025-03-18,Active
Subscription,Transactional,Description for event 27,2025-03-18,Archived
Checkout,Transactional,Description for event 29,2025-03-18,Archived
Signup,Transactional,Description for event 30,2025-03-18,Active
ProductView,Transactional,Description for event 31,2025-03-18,Archived
Subscription,Transactional,Description for event 34,2025-03-18,Active
Login,Transactional,Description for event 35,2025-03-18,Archived
Logout,Transactional,Description for event 40,2025-03-18,Active
Login,Transactional,Description for event 42,2025-03-18,Active
Checkout,Transactional,Description for event 43,2025-03-18,Archived
Signup,Transactional,Description for event 44,2025-03-18,Active
AddToCart,Transactional,Description for event 46,2025-03-18,Active
Logout,Transactional,Description for event 47,2025-03-18,Archived
Subscription,Transactional,Description for event 48,2025-03-18,Active
Login,Transactional,Description for event 49,2025-03-18,Archived
Signup,Transactional,Description for event 51,2025-03-18,Archived
AddToCart,Transactional,Description for event 53,2025-03-18,Archived
Logout,Transactional,Description for event 54,2025-03-18,Active
Checkout,Transactional,Description for event 57,2025-03-18,Archived
AddToCart,Transactional,Description for event 60,2025-03-18,Active
Subscription,Transactional,Description for event 62,2025-03-18,Active
Login,Transactional,Description for event 63,2025-03-18,Archived
Signup,Transactional,Description for event 65,2025-03-18,Archived
Logout,Transactional,Description for event 68,2025-03-18,Active
Subscription,Transactional,Description for event 69,2025-03-18,Archived
Login,Transactional,Description for event 70,2025-03-18,Active
Signup,Transactional,Description for event 72,2025-03-18,Active
ProductView,Transactional,Description for event 73,2025-03-18,Archived
Subscription,Transactional,Description for event 76,2025-03-18,Active
Checkout,Transactional,Description for event 78,2025-03-18,Active
Signup,Transactional,Description for event 79,2025-03-18,Archived
AddToCart,Transactional,Description for event 81,2025-03-18,Archived
Logout,Transactional,Description for event 82,2025-03-18,Active
Checkout,Transactional,Description for event 85,2025-03-18,Archived
Signup,Transactional,Description for event 86,2025-03-18,Active
ProductView,Transactional,Description for event 87,2025-03-18,Archived
Logout,Transactional,Description for event 89,2025-03-18,Archived
Subscription,Transactional,Description for event 90,2025-03-18,Active
Checkout,Transactional,Description for event 92,2025-03-18,Active
Signup,Transactional,Description for event 93,2025-03-18,Archived
Logout,Transactional,Description for event 96,2025-03-18,Active
Subscription,Transactional,Description for event 97,2025-03-18,Archived
Checkout,Transactional,Description for event 99,2025-03-18,Archived
Logout,Transactional,Description for event 103,2025-03-18,Archived
Subscription,Transactional,Description for event 104,2025-03-18,Active
Login,Transactional,Description for event 105,2025-03-18,Archived
Checkout,Transactional,Description for event 106,2025-03-18,Active
AddToCart,Transactional,Description for event 109,2025-03-18,Archived
Login,Transactional,Description for event 112,2025-03-18,Active
AddToCart,Transactional,Description for event 116,2025-03-18,Active
Checkout,Transactional,Description for event 120,2025-03-18,Active
ProductView,Transactional,Description for event 122,2025-03-18,Active
Login,Transactional,Description for event 126,2025-03-18,Active
Checkout,Transactional,Description for event 127,2025-03-18,Archived
Signup,Transactional,Description for event 128,2025-03-18,Active
ProductView,Transactional,Description for event 129,2025-03-18,Archived
AddToCart,Transactional,Description for event 130,2025-03-18,Active
Signup,Transactional,Description for event 135,2025-03-18,Archived
AddToCart,Transactional,Description for event 137,2025-03-18,Archived
Logout,Transactional,Description for event 138,2025-03-18,Active
Subscription,Transactional,Description for event 139,2025-03-18,Archived
Login,Transactional,Description for event 140,2025-03-18,Active
Login,Transactional,Description for event 147,2025-03-18,Archived
Checkout,Transactional,Description for event 148,2025-03-18,Active
ProductView,Transactional,Description for event 150,2025-03-18,Active
AddToCart,Transactional,Description for event 151,2025-03-18,Archived
Logout,Transactional,Description for event 152,2025-03-18,Active
Login,Transactional,Description for event 154,2025-03-18,Active
Checkout,Transactional,Description for event 155,2025-03-18,Archived
Signup,Transactional,Description for event 156,2025-03-18,Active
ProductView,Transactional,Description for event 157,2025-03-18,Archived
Subscription,Transactional,Description for event 160,2025-03-18,Active
Checkout,Transactional,Description for event 162,2025-03-18,Active
ProductView,Transactional,Description for event 164,2025-03-18,Active
AddToCart,Transactional,Description for event 165,2025-03-18,Archived
Login,Transactional,Description for event 168,2025-03-18,Active
AddToCart,Transactional,Description for event 172,2025-03-18,Active
Subscription,Transactional,Description for event 174,2025-03-18,Active
ProductView,Transactional,Description for event 178,2025-03-18,Active
Logout,Transactional,Description for event 180,2025-03-18,Active
Checkout,Social,Description for event 183,2025-03-18,Archived
AddToCart,Transactional,Description for event 186,2025-03-18,Active
Subscription,Transactional,Description for event 188,2025-03-18,Active
Subscription,Social,Description for event 195,2025-03-18,Archived
Login,Transactional,Description for event 196,2025-03-18,Active
Checkout,Social,Description for event 197,2025-03-18,Archived
Signup,Transactional,Description for event 198,2025-03-18,Active
Logout,Social,Description for event 201,2025-03-18,Archived
Subscription,Transactional,Description for event 202,2025-03-18,Active
Signup,Social,Description for event 205,2025-03-18,Archived
AddToCart,Social,Description for event 207,2025-03-18,Archived
Logout,Transactional,Description for event 208,2025-03-18,Active
Subscription,Social,Description for event 209,2025-03-18,Archived
Login,Transactional,Description for event 210,2025-03-18,Active
Signup,Transactional,Description for event 212,2025-03-18,Active
ProductView,Social,Description for event 213,2025-03-18,Archived
Login,Social,Description for event 217,2025-03-18,Archived
Checkout,Transactional,Description for event 218,2025-03-18,Active
Signup,Social,Description for event 219,2025-03-18,Archived
ProductView,Transactional,Description for event 220,2025-03-18,Active
Subscription,Social,Description for event 223,2025-03-18,Archived
Checkout,Social,Description for event 225,2025-03-18,Archived
Signup,Transactional,Description for event 226,2025-03-18,Active
Signup,Social,Description for event 233,2025-03-18,Archived
Subscription,Social,Description for event 237,2025-03-18,Archived
Login,Transactional,Description for event 238,2025-03-18,Active
Checkout,Social,Description for event 239,2025-03-18,Archived
AddToCart,Transactional,Description for event 242,2025-03-18,Active
Subscription,Transactional,Description for event 244,2025-03-18,Active
Checkout,Social,Description for event 253,2025-03-18,Archived
Subscription,Transactional,Description for event 258,2025-03-18,Active
Signup,Social,Description for event 261,2025-03-18,Archived
AddToCart,Social,Description for event 263,2025-03-18,Archived
Subscription,Social,Description for event 265,2025-03-18,Archived
Logout,Social,Description for event 271,2025-03-18,Archived
Subscription,Transactional,Description for event 272,2025-03-18,Active
ProductView,Transactional,Description for event 276,2025-03-18,Active
AddToCart,Social,Description for event 277,2025-03-18,Archived
Subscription,Social,Description for event 279,2025-03-18,Archived
Checkout,Social,Description for event 281,2025-03-18,Archived
ProductView,Social,Description for event 283,2025-03-18,Archived
AddToCart,Transactional,Description for event 284,2025-03-18,Active
Logout,Social,Description for event 285,2025-03-18,Archived
Subscription,Transactional,Description for event 286,2025-03-18,Active
Signup,Social,Description for event 289,2025-03-18,Archived
ProductView,Transactional,Description for event 290,2025-03-18,Active
AddToCart,Social,Description for event 291,2025-03-18,Archived
Login,Transactional,Description for event 294,2025-03-18,Active
Signup,Transactional,Description for event 296,2025-03-18,Active
AddToCart,Transactional,Description for event 298,2025-03-18,Active
Logout,Social,Description for event 299,2025-03-18,Archived
ProductView,Transactional,Description for event 304,2025-03-18,Active
Logout,Transactional,Description for event 306,2025-03-18,Active
Login,Transactional,Description for event 308,2025-03-18,Active
ProductView,Social,Description for event 311,2025-03-18,Archived
Logout,Social,Description for event 313,2025-03-18,Archived
ProductView,Transactional,Description for event 318,2025-03-18,Active
AddToCart,Social,Description for event 319,2025-03-18,Archived
Subscription,Social,Description for event 321,2025-03-18,Archived
Logout,Social,Description for event 327,2025-03-18,Archived
Subscription,Transactional,Description for event 328,2025-03-18,Active
Login,Social,Description for event 329,2025-03-18,Archived
Checkout,Transactional,Description for event 330,2025-03-18,Active
Signup,Social,Description for event 331,2025-03-18,Archived
ProductView,Transactional,Description for event 332,2025-03-18,Active
Logout,Transactional,Description for event 334,2025-03-18,Active
Login,Transactional,Description for event 336,2025-03-18,Active
Checkout,Social,Description for event 337,2025-03-18,Archived
Login,Social,Description for event 343,2025-03-18,Archived
Signup,Social,Description for event 345,2025-03-18,Archived
AddToCart,Social,Description for event 347,2025-03-18,Archived
Subscription,Social,Description for event 349,2025-03-18,Archived
Login,Transactional,Description for event 350,2025-03-18,Active
Signup,Transactional,Description for event 352,2025-03-18,Active
AddToCart,Transactional,Description for event 354,2025-03-18,Active
Subscription,Transactional,Description for event 356,2025-03-18,Active
Checkout,Transactional,Description for event 358,2025-03-18,Active
Signup,Social,Description for event 359,2025-03-18,Archived
ProductView,Transactional,Description for event 360,2025-03-18,Active
AddToCart,Social,Description for event 361,2025-03-18,Archived
Logout,Transactional,Description for event 362,2025-03-18,Active
Login,Transactional,Description for event 364,2025-03-18,Active
Checkout,Social,Description for event 365,2025-03-18,Archived
Signup,Transactional,Description for event 366,2025-03-18,Active
Logout,Social,Description for event 369,2025-03-18,Archived
Logout,Transactional,Description for event 376,2025-03-18,Active
Subscription,Social,Description for event 377,2025-03-18,Archived
Checkout,Social,Description for event 379,2025-03-18,Archived
Signup,Transactional,Description for event 380,2025-03-18,Active
ProductView,Social,Description for event 381,2025-03-18,Archived
Logout,Social,Description for event 383,2025-03-18,Archived
Login,Social,Description for event 385,2025-03-18,Archived
ProductView,Transactional,Description for event 388,2025-03-18,Active
Signup,Transactional,Description for event 394,2025-03-18,Active
ProductView,Social,Description for event 395,2025-03-18,Archived
AddToCart,Transactional,Description for event 396,2025-03-18,Active
Subscription,Transactional,Description for event 398,2025-03-18,Active
Login,Social,Description for event 399,2025-03-18,Archived
Signup,Social,Description for event 401,2025-03-18,Archived
ProductView,Transactional,Description for event 402,2025-03-18,Active
Subscription,Social,Description for event 405,2025-03-18,Archived
Login,Transactional,Description for event 406,2025-03-18,Active
Signup,Transactional,Description for event 408,2025-03-18,Active
ProductView,Social,Description for event 409,2025-03-18,Archived
AddToCart,Transactional,Description for event 410,2025-03-18,Active
Signup,Social,Description for event 415,2025-03-18,Archived
AddToCart,Social,Description for event 417,2025-03-18,Archived
Logout,Transactional,Description for event 418,2025-03-18,Active
Subscription,Social,Description for event 419,2025-03-18,Archived
Login,Transactional,Description for event 420,2025-03-18,Active
Signup,Transactional,Description for event 422,2025-03-18,Active
Logout,Social,Description for event 425,2025-03-18,Archived
Subscription,Transactional,Description for event 426,2025-03-18,Active
Checkout,Transactional,Description for event 428,2025-03-18,Active
Signup,Social,Description for event 429,2025-03-18,Archived
AddToCart,Social,Description for event 431,2025-03-18,Archived
Login,Transactional,Description for event 434,2025-03-18,Active
Checkout,Social,Description for event 435,2025-03-18,Archived
Signup,Transactional,Description for event 436,2025-03-18,Active
Logout,Social,Description for event 439,2025-03-18,Archived
Login,Social,Description for event 441,2025-03-18,Archived
Checkout,Transactional,Description for event 442,2025-03-18,Active
Signup,Social,Description for event 443,2025-03-18,Archived
Logout,Transactional,Description for event 446,2025-03-18,Active
Login,Transactional,Description for event 448,2025-03-18,Active
Checkout,Social,Description for event 449,2025-03-18,Archived
Signup,Transactional,Description for event 450,2025-03-18,Active
ProductView,Social,Description for event 451,2025-03-18,Archived
AddToCart,Transactional,Description for event 452,2025-03-18,Active
Subscription,Transactional,Description for event 454,2025-03-18,Active
Checkout,Transactional,Description for event 456,2025-03-18,Active
AddToCart,Social,Description for event 459,2025-03-18,Archived
Logout,Transactional,Description for event 460,2025-03-18,Active
Signup,Transactional,Description for event 464,2025-03-18,Active
ProductView,Social,Description for event 465,2025-03-18,Archived
AddToCart,Transactional,Description for event 466,2025-03-18,Active
Logout,Social,Description for event 467,2025-03-18,Archived
Login,Social,Description for event 469,2025-03-18,Archived
Checkout,Transactional,Description for event 470,2025-03-18,Active
Signup,Social,Description for event 471,2025-03-18,Archived
Subscription,Social,Description for event 475,2025-03-18,Archived
Checkout,Social,Description for event 477,2025-03-18,Archived
Signup,Transactional,Description for event 478,2025-03-18,Active
Subscription,Transactional,Description for event 482,2025-03-18,Active
Login,Social,Description for event 483,2025-03-18,Archived
ProductView,Transactional,Description for event 486,2025-03-18,Active
Login,Transactional,Description for event 490,2025-03-18,Active
Checkout,Social,Description for event 491,2025-03-18,Archived
Signup,Transactional,Description for event 492,2025-03-18,Active
AddToCart,Transactional,Description for event 494,2025-03-18,Active
Logout,Social,Description for event 495,2025-03-18,Archived
Subscription,Transactional,Description for event 496,2025-03-18,Active
Checkout,Transactional,Description for event 498,2025-03-18,Active
Signup,Social,Description for event 499,2025-03-18,Archived
ProductView,Transactional,Description for event 500,2025-03-18,Active
Logout,Transactional,Description for event 502,2025-03-18,Active
Checkout,Social,Description for event 505,2025-03-18,Archived
ProductView,Social,Description for event 507,2025-03-18,Archived
Subscription,Transactional,Description for event 510,2025-03-18,Active
Login,Social,Description for event 511,2025-03-18,Archived
Logout,Transactional,Description for event 516,2025-03-18,Active
Signup,Transactional,Description for event 520,2025-03-18,Active
AddToCart,Transactional,Description for event 522,2025-03-18,Active
Subscription,Transactional,Description for event 524,2025-03-18,Active
ProductView,Transactional,Description for event 528,2025-03-18,Active
